Rank,Movie_Name,Release_Year,Duration,Genres,Rating,Ratings_Count,Content_Rating,Description
64,Spider-Man: Into the Spider-Verse,2018,1h 57m,"Animation, Action, Adventure",8.4,705298,U,Teen Miles Morales becomes the Spider-Man of his universe and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.
65,Paths of Glory,1957,1h 28m,"Drama, War",8.4,220935,A,A colonel defends three of his soldiers in a court-martial after they abandon a suicidal attack.
66,Witness for the Prosecution,1957,1h 56m,"Crime, Drama, Mystery",8.4,144186,U,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.
67,The Shining,1980,2h 26m,"Drama, Horror",8.4,1143054,A,"A family heads to an isolated hotel for the winter, where a sinister presence influences the father into violence. At the same time, his psychic son sees horrifying forebodings from both the past and the future."
68,The Great Dictator,1940,2h 5m,"Comedy, Drama, War",8.4,244041,G,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.
69,Alien 2,1986,2h 17m,"Action, Adventure, Sci-Fi",8.4,794300,U,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring."
70,Inglourious Basterds,2009,2h 33m,"Adventure, Drama, War",8.4,1636446,A,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same."
71,The Dark Knight Rises,2012,2h 44m,"Action, Drama, Thriller",8.4,1877567,UA,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again."
72,Coco,2017,1h 45m,"Animation, Adventure, Drama",8.4,625851,U,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer."
73,Amadeus,1984,2h 40m,"Biography, Drama, Music",8.4,440011,PG,"The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him."
74,Toy Story,1995,1h 21m,"Animation, Adventure, Comedy",8.3,1099701,U,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.
75,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1h 35m,"Comedy, War",8.3,530555,PG,"An unhinged American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
76,Oldeuboi,2003,2h 0m,"Action, Drama, Mystery",8.3,659377,R,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days."
77,Avengers: Endgame,2019,3h 1m,"Action, Adventure, Drama",8.4,1317365,UA,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
78,American Beauty,1999,2h 2m,Drama,8.3,1232539,UA,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.
79,Good Will Hunting,1997,2h 6m,"Drama, Romance",8.3,1107269,U,"Will Hunting, a janitor at MIT, has a gift for mathematics, but needs help from a psychologist to find direction in his life."
80,Das Boot,1981,2h 29m,"Drama, War",8.4,271784,No Rating,A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.
81,Braveheart,1995,2h 58m,"Biography, Drama, War",8.3,1112962,A,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.
82,Mononoke-hime,1997,2h 13m,"Animation, Adventure, Fantasy",8.3,448518,U,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, the Mononoke Hime."
83,Kimi No Na Wa.,2016,1h 46m,"Animation, Drama, Fantasy",8.4,341161,U,"Two teenagers share a profound, magical connection upon discovering they are swapping bodies. Things manage to become even more complicated when the boy and girl decide to meet in person."
84,Tengoku to Jigoku,1963,2h 23m,"Crime, Drama, Mystery",8.4,57026,Not Rated,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.
85,Joker,2019,2h 2m,"Crime, Drama, Thriller",8.4,1566718,A,"Arthur Fleck, a party clown and a failed stand-up comedian, leads an impoverished life with his ailing mother. However, when society shuns him and brands him as a freak, he decides to embrace the life of chaos in Gotham City."
86,3 Idiots,2009,2h 50m,"Comedy, Drama",8.4,448224,UA,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots""."
